#  wavelength    Flux         Std.Dev.
#  [Angstroem]   [F(5500)]    [N/A]

  6006.968   21849.8059    0.1
  6006.986   21678.0393    0.1
  6007.003   21643.8241    0.1
  6007.020   21557.9702    0.1
  6007.038   21396.7862    0.1
  6007.055   21101.8088    0.1
  6007.073   20726.4475    0.1
  6007.090   20141.0187    0.1
  6007.107   19196.6978    0.1
  6007.125   17935.9384    0.1
  6007.142   16308.2213    0.1
  6007.160   14754.5183    0.1
  6007.177   13253.0944    0.1
  6007.194   11853.1652    0.1
  6007.212   11111.8625    0.1
  6007.229   11267.5986    0.1
  6007.247   11928.5052    0.1
  6007.264   13039.9936    0.1
  6007.282   14794.1918    0.1
  6007.299   16394.8223    0.1
  6007.316   17876.7068    0.1
  6007.334   19053.7014    0.1
  6007.351   19949.2717    0.1
  6007.369   20729.5188    0.1
  6007.386   21247.8116    0.1
  6007.403   21563.8002    0.1
  6007.421   21714.5469    0.1
  6007.438   21776.6797    0.1
  6007.456   21780.4074    0.1
  6007.473   21718.7503    0.1
  6007.490   21606.4369    0.1
  6007.508   21408.9661    0.1
  6007.525   21229.8907    0.1
  6007.543   20974.5725    0.1
  6007.560   20728.6635    0.1
  6007.578   20519.7276    0.1
  6007.595   20325.8007    0.1
  6007.612   20097.7131    0.1
  6007.630   20173.9027    0.1
  6007.647   20353.6215    0.1
  6007.665   20505.8127    0.1
  6007.682   20681.5182    0.1
  6007.699   20732.6186    0.1
  6007.717   20584.5924    0.1
  6007.734   20204.9740    0.1
  6007.752   19669.0179    0.1
  6007.769   18733.0163    0.1
  6007.786   17513.2888    0.1
  6007.804   16175.9143    0.1
  6007.821   14803.8489    0.1
  6007.839   13745.2325    0.1
  6007.856   12902.9627    0.1
  6007.874   12787.0336    0.1
  6007.891   13233.7911    0.1
  6007.908   14165.0194    0.1
  6007.926   15257.0342    0.1
  6007.943   16712.7196    0.1
  6007.961   18005.0203    0.1
  6007.978   18985.1122    0.1
  6007.995   19751.2987    0.1
  6008.013   20300.9284    0.1
  6008.030   20865.5479    0.1
  6008.048   21096.8288    0.1
  6008.065   21328.3740    0.1
  6008.082   21479.5698    0.1
  6008.100   21559.6108    0.1
  6008.117   21728.8333    0.1
  6008.135   21780.1495    0.1
  6008.152   21717.8020    0.1
  6008.169   21727.7519    0.1
  6008.187   21821.0876    0.1
  6008.204   21851.1495    0.1
  6008.222   21709.6370    0.1
  6008.239   21740.4737    0.1
  6008.257   21603.3408    0.1
  6008.274   21421.0042    0.1
  6008.291   21003.9988    0.1
  6008.309   20408.3484    0.1
  6008.326   19690.9429    0.1
  6008.344   18768.1590    0.1
  6008.361   17416.7316    0.1
  6008.378   15693.1123    0.1
  6008.396   13704.7658    0.1
  6008.413   12067.4818    0.1
  6008.431   10493.7842    0.1
  6008.448   9259.0253    0.1
  6008.465   8725.8095    0.1
  6008.483   9008.4680    0.1
  6008.500   9774.8905    0.1
  6008.518   10973.7665    0.1
  6008.535   12783.5409    0.1
  6008.553   14452.1514    0.1
  6008.570   16009.5453    0.1
  6008.587   17346.2234    0.1
  6008.605   18377.4548    0.1
  6008.622   19459.9746    0.1
  6008.640   20169.3096    0.1
  6008.657   20673.3613    0.1
  6008.674   20973.4361    0.1
  6008.692   21258.2902    0.1
  6008.709   21511.1018    0.1
  6008.727   21661.9908    0.1
  6008.744   21733.4324    0.1
  6008.761   21773.0321    0.1
  6008.779   21859.6653    0.1
  6008.796   21980.0074    0.1
  6008.814   21967.7336    0.1
  6008.831   21939.2726    0.1
  6008.849   21928.5004    0.1
  6008.866   21933.6083    0.1
  6008.883   22039.2515    0.1
  6008.901   22048.5099    0.1
  6008.918   22030.6127    0.1
  6008.936   21826.8505    0.1
  6008.953   21829.9380    0.1
  6008.970   21925.1860    0.1
  6008.988   21915.5445    0.1
  6009.005   21869.7929    0.1
  6009.023   21801.3146    0.1
  6009.040   21451.0376    0.1
  6009.057   21469.2184    0.1
  6009.075   21448.5518    0.1
  6009.092   21421.3473    0.1
  6009.110   21294.5436    0.1
  6009.127   21270.4474    0.1
  6009.145   21355.4870    0.1
  6009.162   21217.3544    0.1
  6009.179   21188.8469    0.1
  6009.197   21288.3430    0.1
  6009.214   21327.8869    0.1
  6009.232   21400.5428    0.1
  6009.249   21436.2003    0.1
  6009.266   21503.0447    0.1
  6009.284   21453.7060    0.1
  6009.301   21539.8503    0.1
  6009.319   21617.6239    0.1
  6009.336   21762.0193    0.1
  6009.353   21776.1757    0.1
  6009.371   21719.1569    0.1
  6009.388   21715.5943    0.1
  6009.406   21800.0639    0.1
  6009.423   21817.7430    0.1
  6009.440   21865.5719    0.1
  6009.458   21917.2787    0.1
  6009.475   21938.7197    0.1
  6009.493   21746.9698    0.1
  6009.510   21887.5597    0.1
  6009.528   21936.5166    0.1
  6009.545   21882.7739    0.1
  6009.562   21838.2415    0.1
  6009.580   21821.8506    0.1
  6009.597   21866.4378    0.1
  6009.615   21809.1851    0.1
  6009.632   21783.0596    0.1
  6009.649   21679.1800    0.1
  6009.667   21544.9798    0.1
  6009.684   21463.9703    0.1
  6009.702   21158.8403    0.1
  6009.719   21066.3593    0.1
  6009.736   21182.1509    0.1
  6009.754   21198.1941    0.1
  6009.771   21242.3963    0.1
  6009.789   21291.9174    0.1
  6009.806   21393.4147    0.1
  6009.824   21595.1353    0.1
  6009.841   21771.1544    0.1
  6009.858   21835.6983    0.1
  6009.876   21959.6113    0.1
  6009.893   21978.2637    0.1
  6009.911   22114.1277    0.1
  6009.928   22137.6976    0.1
  6009.945   22098.9751    0.1
  6009.963   22090.7941    0.1
  6009.980   22129.2425    0.1
  6009.998   22107.4349    0.1
  6010.015   22059.7143    0.1
  6010.032   21888.6967    0.1
  6010.050   22048.0827    0.1
  6010.067   21918.1848    0.1
  6010.085   22051.2822    0.1
  6010.102   22106.8317    0.1
  6010.120   22153.6597    0.1
  6010.137   22176.7390    0.1
  6010.154   22207.9015    0.1
  6010.172   22001.3740    0.1
  6010.189   22169.5317    0.1
  6010.207   22138.0536    0.1
  6010.224   22193.7690    0.1
  6010.241   22233.3027    0.1
  6010.259   22235.1899    0.1
  6010.276   22231.9982    0.1
  6010.294   22041.2398    0.1
  6010.311   21930.4870    0.1
  6010.328   22073.9201    0.1
  6010.346   21957.7029    0.1
  6010.363   21947.0666    0.1
  6010.381   21995.7043    0.1
  6010.398   21876.8763    0.1
  6010.415   21962.4120    0.1
  6010.433   21997.3286    0.1
  6010.450   21947.5014    0.1
  6010.468   21909.7676    0.1
  6010.485   21893.4593    0.1
  6010.503   21902.4989    0.1
  6010.520   21982.4782    0.1
  6010.537   21829.2237    0.1
  6010.555   21859.7768    0.1
  6010.572   21957.6483    0.1
  6010.590   22038.4660    0.1
  6010.607   22041.4077    0.1
  6010.624   21738.5829    0.1
  6010.642   21728.3455    0.1
  6010.659   21747.0208    0.1
  6010.677   21701.6056    0.1
  6010.694   21845.5022    0.1
  6010.711   21669.9571    0.1
  6010.729   21634.6383    0.1
  6010.746   21729.5227    0.1
  6010.764   21641.5070    0.1
  6010.781   21578.4810    0.1
  6010.799   21603.2861    0.1
  6010.816   21677.5641    0.1
  6010.833   21809.5941    0.1
  6010.851   21864.8517    0.1
  6010.868   21937.1507    0.1
  6010.886   22036.2050    0.1
  6010.903   22124.1268    0.1
  6010.920   22171.6769    0.1
  6010.938   22148.6911    0.1
  6010.955   22097.4234    0.1
  6010.973   22072.6782    0.1
  6010.990   22131.8073    0.1
  6011.007   22088.8727    0.1
  6011.025   22058.6193    0.1
  6011.042   22066.6395    0.1
  6011.060   22074.1996    0.1
  6011.077   21939.0002    0.1
  6011.095   21961.7852    0.1
  6011.112   21956.4825    0.1
  6011.129   21758.1627    0.1
  6011.147   21877.0895    0.1
  6011.164   21820.9598    0.1
  6011.182   21817.9944    0.1
  6011.199   21773.3409    0.1
  6011.216   21766.0791    0.1
  6011.234   21805.5283    0.1
  6011.251   21753.6697    0.1
  6011.269   21740.9463    0.1
  6011.286   21864.5710    0.1
  6011.303   21842.0667    0.1
  6011.321   21826.8763    0.1
  6011.338   21840.2601    0.1
  6011.356   21786.5782    0.1
  6011.373   21904.8111    0.1
  6011.391   21900.4599    0.1
  6011.408   21874.5151    0.1
  6011.425   21843.9434    0.1
  6011.443   21661.2739    0.1
  6011.460   21695.7454    0.1
  6011.478   21723.4063    0.1
  6011.495   21887.0870    0.1
  6011.512   21893.4234    0.1
  6011.530   21916.3154    0.1
  6011.547   21971.3847    0.1
  6011.565   22003.0873    0.1
  6011.582   21836.0850    0.1
  6011.599   21889.2998    0.1
  6011.617   21989.7338    0.1
  6011.634   21941.4446    0.1
  6011.652   21981.6986    0.1
  6011.669   21889.7217    0.1
  6011.686   21881.6123    0.1
  6011.704   21847.8729    0.1
  6011.721   21805.8866    0.1
  6011.739   22029.0483    0.1
  6011.756   22018.8676    0.1
  6011.774   21948.5911    0.1
  6011.791   21950.6502    0.1
  6011.808   21892.9639    0.1
  6011.826   21870.1923    0.1
  6011.843   21855.2309    0.1
  6011.861   21992.2256    0.1
  6011.878   21952.8912    0.1
  6011.895   21896.9998    0.1
  6011.913   21834.5488    0.1
  6011.930   21670.6503    0.1
  6011.948   21510.3822    0.1
  6011.965   21196.6481    0.1
  6011.982   20828.0751    0.1
  6012.000   20187.1607    0.1
  6012.017   19143.5639    0.1
  6012.035   18043.7437    0.1
  6012.052   16796.3362    0.1
  6012.070   15149.8549    0.1
  6012.087   13528.5317    0.1
  6012.104   12735.9510    0.1
  6012.122   12336.0748    0.1
  6012.139   12362.6654    0.1
  6012.157   13169.8096    0.1
  6012.174   14365.4089    0.1
  6012.191   15818.2716    0.1
  6012.209   17192.5302    0.1
  6012.226   18325.9714    0.1
  6012.244   19370.7680    0.1
  6012.261   20098.6521    0.1
  6012.278   20646.9303    0.1
  6012.296   20885.7217    0.1
  6012.313   21025.8881    0.1
  6012.331   21121.0929    0.1
  6012.348   21168.8293    0.1
  6012.366   21281.6729    0.1
  6012.383   21433.6866    0.1
  6012.400   21553.0025    0.1
  6012.418   21675.9164    0.1
  6012.435   21670.1363    0.1
  6012.453   21778.8226    0.1
  6012.470   21887.0755    0.1
