Selección de líneas de hierro para Arcturus-PEPSI;;;;;;;;
Rango:;3940-9130;;;;;;;
"Copiadas de Nave (solo calidad A; en total hay 1312)";;;;;;;;
;;;;;;;;
;;;;;;;;
;Aparentemente buenas (481);;;;;posibles mezclas (338);;
;;;;;;;;
;l vac;l aire;c;;;l vac;l aire;c
;;;;;;;;
;52.516.703;52.502.089;0.121;;;51.328.984;51.314.687;2.223
;5.254.924;52.534.617;3.283;;;51.351.188;51.336.885;4.178
;52.832.601;52.817.904;3.038;;;5.149.477;51.480.428;4.283
;53.002.502;52.987.758;3.642;;;51.496.634;51.482.292;4.256
;53.088.376;5.307.361;1.608;;;51.604.947;51.590.576;4.283
;53.235.213;53.220.408;2.279;;;51.893.589;51.879.142;4.143
;53.276.244;53.261.428;3.573;;;51.963.884;51.949.418;1.557
;53.414.147;53.399.294;3.266;;;51.969.191;51.954.723;4.22
;53.663.632;53.648.713;4.445;;;51.975.065;51.960.596;4.256
;53.668.911;53.653.991;3.573;;;52.001.588;51.987.111;2.223
;53.714.552;53.699.619;4.371;;;52.177.263;5.216.274;1.608
;53.752.029;53.737.086;4.473;;;52.269.809;52.255.261;0.11
;53.810.699;5.379.574;3.694;;;52.275.211;52.260.661;3.415
;53.848.661;53.833.692;4.312;;;52.283.175;52.268.623;3.038
;53.909.777;53.894.792;4.415;;;5.248.511;52.470.504;0.087
;53.986.285;5.397.128;0.915;;;52.521.075;5.250.646;2.198
;53.997.803;53.982.794;4.445;;;52.647.711;52.633.063;3.266
;5.412.414;54.109.098;4.473;;;5265.33;5.263.865;3.573
;54.167.047;54.151.993;4.386;;;52.680.211;52.665.554;2.998
;54.255.759;54.240.682;4.32;;;52.710.039;52.695.374;0.859
;5.434.458;54.329.479;4.445;;;52.718.231;52.703.564;1.608
;54.360.344;54.345.238;1.011;;;52.746.311;52.731.636;3.292
;54.465.558;54.450.424;4.386;;;52.748.411;52.733.736;2.484
;54.644.776;54.629.595;4.473;;;52.850.913;5.283.621;3.241
;54.647.944;54.632.762;4.434;;;52.899.963;52.885.247;3.694
;5.465.798;54.642.796;4.143;;;53.256.601;5.324.179;3.211
;54.679.152;54.663.962;4.371;;;53.314.717;53.299.891;4.076
;5.468.507;54.669.878;3.573;;;53.343.831;53.328.997;1.557
;54.742.298;54.727.091;4.209;;;53.425.096;5.341.024;1.608
;54.754.215;54.739.005;4.154;;;53.512.255;53.497.376;4.386
;54.990.434;54.975.161;1.011;;;53.729.834;53.714.897;0.958
;55.029.937;55.014.653;0.958;;;53.946.671;53.931.676;3.241
;55.239.805;55.224.465;4.209;;;53.991.185;53.976.178;3.634
;55.270.791;55.255.443;4.23;;;54.053.239;54.038.215;4.076
;55.454.754;55.439.357;4.217;;;54.072.781;54.057.752;0.99
;55.480.463;55.465.058;4.371;;;54.106.373;54.091.336;4.371
;55.642.512;55.627.065;4.434;;;54.480.967;54.465.829;4.415
;55.711.647;55.696.181;3.417;;;54.778.102;54.762.885;4.143
;55.776.371;55.760.888;3.43;;;5.478.086;54.765.642;4.103
;55.863.154;55.847.647;3.573;;;54.846.223;54.830.988;4.154
;55.883.071;55.867.559;3.368;;;54.892.708;5.487.746;4.32
;55.891.254;5.587.574;4.143;;;54.950.251;54.934.988;4.103
;56.201.925;56.186.327;4.209;;;5.508.309;55.067.791;0.99
;56.211.554;56.195.954;4.386;;;55.447.292;55.431.896;4.913
;56.255.831;5.624.022;4.386;;;55.564.378;55.548.951;4.548
;56.355.103;56.339.465;4.991;;;55.617.557;55.602.116;4.434
;56.373.869;56.358.226;4.256;;;55.672.496;5.565.704;4.607
;56.382.607;56.366.962;3.64;;;55.689.371;55.673.911;2.608
;56.386.727;56.371.081;3.642;;;55.743.899;55.728.424;3.396
;56.398.271;56.382.621;4.22;;;56.017.789;56.002.242;4.26
;56.515.554;56.499.873;5.099;;;56.168.554;56.152.966;2.588
;56.530.375;5.651.469;4.473;;;56.172.028;56.156.439;3.332
;56.538.867;5.652.318;4.26;;;56.220.526;56.204.924;4.154
;56.554.359;56.538.668;4.386;;;56.261.035;56.245.422;3.417
;56.567.459;56.551.765;5.064;;;56.474.008;56.458.338;4.607
;56.570.595;5655.49;5.033;;;56.511.986;56.496.306;3.634
;56.611.454;56.595.747;5.085;;;56.623.721;56.608.011;3.64
;56.629.166;56.613.455;4.284;;;56.690.908;5.667.518;4.178
;56.640.877;56.625.162;4.178;;;56.792.603;56.776.848;4.103
;56.805.988;56.790.229;4.652;;;56.799.544;56.783.788;3.883
;56.818.166;56.802.404;4.186;;;56.930.762;5.691.497;4.301
;56.881.081;56.865.302;4.548;;;5697.67;56.960.896;4.548
;57.031.265;57.015.446;2.559;;;56.996.009;5698.02;3.64
;57.063.164;57.047.337;5.033;;;57.115.164;57.099.323;4.256
;57.070.475;57.054.646;4.301;;;57.137.163;57.121.316;3.417
;57.161.345;57.145.491;5.085;;;57.224.852;57.208.982;4.548
;57.194.191;57.178.329;4.284;;;57.559.986;57.544.026;3.642
;57.260.428;57.244.547;4.284;;;57.645.905;57.629.922;4.209
;57.333.522;57.317.623;4.256;;;57.822.031;57.806.001;3.241
;57.338.861;5.732.296;4.991;;;57.824.074;57.808.043;3.266
;57.361.559;57.345.652;4.955;;;57.997.791;57.981.714;3.928
;57.398.194;57.382.277;4.22;;;58.056.443;5.804.035;3.881
;57.434.411;57.418.484;4.256;;;58.186.893;58.170.765;4.955
;57.445.529;5742.96;4.178;;;58.371.913;58.355.735;2.831
;57.536.274;5.752.032;4.548;;;58.508.064;5.849.185;3.267
;57.547.184;57.531.227;4.26;;;58.627.342;58.611.096;4.283
;57.608.595;57.592.621;4.652;;;58.658.698;58.642.444;4.301
;57.611.386;57.595.412;4.301;;;5.872.931;58.713.037;4.154
;57.619.422;57.603.446;3.642;;;58.748.407;58.732.129;4.256
;57.709.229;57.693.228;4.607;;;58.779.068;58.762.782;4.301
;57.766.821;57.750.806;4.22;;;58.816.568;58.800.272;4.558
;57.778.263;57.762.244;3.694;;;58.829.101;58.812.801;4.607
;57.837.131;57.821.096;5.064;;;58.928.085;58.911.759;4.652
;57.862.625;57.846.584;3.396;;;59.031.668;59.015.314;4.22
;57.931.299;57.915.239;4.584;;;59.362.992;59.346.549;3.928
;57.955.214;57.939.148;4.22;;;59.491.592;59.475.115;4.607
;58.073.669;58.057.571;5.033;;;59.648.905;59.632.386;2.223
;58.083.349;58.067.249;4.607;;;59.778.158;59.761.604;4.294
;58.093.941;58.077.838;3.292;;;59.780.946;59.764.391;4.178
;58.135.259;58.119.145;4.143;;;59.864.728;59.848.151;4.733
;58.164.197;58.148.075;4.283;;;59.887.232;59.870.649;4.795
;58.294.928;58.278.771;3.283;;;59.994.391;59.977.778;4.607
;58.367.184;58.351.008;4.256;;;60.357.064;60.340.355;4.312
;58.393.196;58.377.012;4.294;;;60.623.024;60.606.243;1.557
;58.399.903;58.383.718;3.943;;;60.645.271;60.628.484;2.176
;58.465.391;58.449.188;4.154;;;60.843.946;60.827.106;2.223
;58.469.073;58.452.869;5.033;;;61.019.603;61.002.716;4.558
;58.513.056;5.849.684;3.694;;;61.038.669;61.021.777;4.607
;58.528.271;58.512.052;4.955;;;61.068.214;61.051.314;4.548
;58.547.708;58.531.483;1.485;;;61.383.138;61.366.153;2.453
;58.553.052;58.536.826;4.191;;;61.386.932;61.369.947;2.198
;58.566.996;58.550.766;4.607;;;61.393.904;61.376.917;2.588
;58.577.113;5.856.088;4.294;;;61.652.502;61.635.445;2.198
;58.598.892;58.582.654;2.433;;;62.168.633;62.151.438;4.186
;58.604.019;5.858.778;4.22;;;62.823.553;62.806.182;0.859
;58.612.109;58.595.867;4.548;;;62.927.054;62.909.656;4.733
;58.639.814;58.623.565;4.548;;;63.042.365;63.024.936;3.686
;58.854.476;5.883.817;3.96;;;63.132.457;63.115.003;2.831
;58.998.498;58.982.153;4.733;;;63.406.302;63.388.775;4.795
;59.041.092;59.024.736;4.593;;;63.459.033;63.441.491;2.433
;59.073.085;5.905.672;4.652;;;63.567.861;6.355.029;2.845
;59.084.799;5.906.843;4.913;;;64.017.704;64.000.012;3.602
;59.095.005;59.078.634;3.694;;;64.020.872;6.400.318;0.915
;59.116.112;59.099.736;3.211;;;64.214.198;64.196.454;3.943
;59.178.867;59.162.474;2.453;;;64.962.944;64.944.999;4.733
;59.294.316;59.277.891;4.652;;;64.975.371;64.957.422;4.835
;59.313.202;59.296.772;4.548;;;65.403.002;65.384.939;4.143
;59.318.229;59.301.799;4.652;;;65.534.879;6.551.678;0.99
;59.426.375;59.409.915;4.178;;;6.576.832;65.750.158;2.588
;59.452.251;59.435.784;2.198;;;6.583.028;65.812.101;1.485
;59.543.675;59.527.184;3.984;;;6.609.851;6.608.026;2.279
;59.583.446;59.566.944;0.859;;;66.109.356;66.091.103;2.559
;59.712.159;59.695.622;4.283;;;66.156.521;66.138.254;1.011
;59.784.327;59.767.771;3.943;;;66.268.517;6.625.022;1.011
;59.853.384;5.983.681;4.548;;;66.499.169;6.648.081;1.011
;60.046.749;60.030.123;3.881;;;66.652.821;66.634.421;2.424
;60.072.046;60.055.413;2.588;;;66.692.601;66.674.191;2.453
;60.096.241;60.079.601;4.652;;;66.695.524;66.677.113;4.584
;60.102.207;60.085.566;3.883;;;66.893.386;66.874.922;4.143
;6.013.875;60.122.099;2.223;;;66.941.201;66.922.724;4.076
;60.169.102;60.152.443;2.223;;;67.092.849;67.074.332;4.607
;60.210.329;60.193.659;3.573;;;6.739.847;6.737.987;4.558
;60.234.588;60.217.912;2.198;;;67.545.711;67.527.071;4.638
;60.257.262;6.024.058;4.548;;;67.553.281;67.534.639;4.558
;6028.72;60.270.509;4.076;;;6779.28;67.774.094;4.186
;60.557.504;60.540.741;4.371;;;67.855.762;67.837.039;2.588
;60.576.815;60.560.047;4.733;;;67.876.133;67.857.405;4.584
;60.801.739;60.784.911;4.795;;;67.882.999;67.864.268;3.241
;60.806.922;60.790.093;4.652;;;68.058.786;68.040.009;4.652
;60.869.437;6.085.259;2.758;;;68.061.492;68.042.713;4.584
;60.953.313;60.936.444;4.607;;;71.664.234;71.644.486;4.191
;60.960.607;60.943.736;4.652;;;7.189.299;7.187.318;4.103
;6.098.353;60.966.653;3.984;;;72.090.979;72.071.116;4.076
;60.999.329;60.982.447;4.558;;;72.093.744;7.207.388;4.154
;61.219.435;61.202.494;0.915;;;72.907.468;72.887.385;4.22
;61.296.027;61.279.066;4.143;;;73.099.453;73.079.318;4.143
;61.434.318;6.141.732;3.602;;;73.130.902;73.110.759;4.283
;61.533.206;61.516.181;2.176;;;74.329.034;74.308.567;4.607
;61.594.325;61.577.284;4.076;;;74.756.121;74.735.539;4.607
;61.670.664;61.653.603;4.143;;;74.971.314;74.950.674;4.22
;61.750.438;61.733.356;2.223;;;75.093.335;75.072.663;4.415
;61.819.143;61.802.042;2.727;;;75.618.015;7559.72;5.064
;61.897.026;61.879.904;3.943;;;75.650.931;75.630.108;4.835
;62.020.285;62.003.129;2.608;;;75.842.094;75.821.219;4.955
;62.151.493;62.134.303;2.223;;;75.903.944;75.883.053;5.033
;62.210.016;6.219.281;2.198;;;76.200.869;76.179.897;4.186
;62.343.654;62.326.412;3.654;;;76.226.106;76.205.128;4.733
;62.423.726;62.406.462;2.223;;;76.558.664;76.537.596;4.795
;62.480.467;62.463.188;3.602;;;76.664.029;76.642.933;2.99
;6.254.285;62.525.554;2.404;;;76.911.528;76.890.365;5.099
;62.559.885;62.542.585;2.279;;;76.989.311;76.968.127;5.064
;62.580.921;62.563.615;2.453;;;77.228.379;7.720.713;5.085
;62.668.669;6.265.134;2.176;;;78.229.553;78.208.034;4.294
;62.719.593;6.270.225;2.858;;;7857.56;78.553.988;5.064
;62.995.348;62.977.931;2.223;;;78.717.757;78.696.106;4.371
;63.032.439;63.015.012;3.654;;;79.263.302;79.241.504;4.795
;6.317.558;63.158.115;4.076;;;79.480.326;79.458.469;4.386
;63.197.647;63.180.175;2.453;;;79.571.226;79.549.345;2.99
;63.244.338;63.226.855;2.588;;;79.613.328;79.591.435;5.033
;63.326.001;63.308.495;4.733;;;80.743.845;80.721.647;2.424
;63.370.826;63.353.308;2.198;;;80.773.715;80.751.509;0.915
;63.385.765;63.368.243;3.686;;;80.827.695;80.805.475;3.301
;63.646.354;63.628.763;4.186;;;80.873.956;80.851.723;4.445
;63.825.072;63.807.433;4.186;;;80.991.019;80.968.755;4.076
;63.874.838;63.857.185;4.733;;;81.105.507;81.083.212;2.727
