λ_teo (Å),λ_obs (Å),Flujo,Profundidad,Velocidad (m/s),Curvatura,Bisectriz,Coef 0,Coef 1,Coef 2,Coef 3,Coef 4
4348.9366,4348.938459534019,0.25477400530388805,0.745225994696112,128.18634197924916,5046585569.297843,391.96682664005783,0.2561736452423692,-0.8617148742144773,133.41391282513268,-202.41566091588018,-11565.235363311333
4351.5439,4351.544884071241,0.18803881717859305,0.811961182821407,67.79596919055365,4312613332.991871,200.4940780568274,0.18846698905338077,-0.4412785581710529,113.87374161290369,-75.4747166289505,-8117.215571253275
4358.4991,4358.502840642343,0.17155715562942847,0.8284428443705716,257.29415944494235,3128732807.7782416,686.6006440215384,0.17188267637470972,-0.3268948145350106,82.35003987357258,-135.38746611272367,-2891.860231627599
4373.5607,4373.561497633595,0.2110264896755877,0.7889735103244123,54.675023926701115,4032784098.0188794,179.8583376864382,0.21232307780836213,-0.7382777211328889,105.41550680106788,-58.31551396190732,-9428.367605560621
4375.9301,4375.944512859359,0.024971800982424797,0.9750281990175752,987.4167172183768,185568370.9231299,-10107.324699295548,0.02519361237396766,-0.06632364815931596,4.845407938639375,6.927523535959954,1512.9323986035806
4387.8912,4387.892270900218,0.20225262839844418,0.7977473716015558,73.16676599911767,4665664561.86565,232.18944214983023,0.20364375967202483,-0.8197198752992231,121.16344231004149,-99.78170578812068,-6070.078680190123
4388.4068,4388.406045293884,0.18332547818349815,0.8166745218165019,-51.557481306698776,4214559475.5254354,312.2244115268412,0.18485250779339096,0.8187745402597361,109.42299106026435,-109.44605628431115,-5524.69432337262
4401.2899,4401.2904035730135,0.19919570553723132,0.8008042944627687,34.30071524266384,3954922758.6218104,602.7647741103184,0.1992082011204394,-0.07140725261267207,102.08171565893133,-184.43065244486004,-9766.870249319949
4422.5681,4422.568351705789,0.12058682756216624,0.8794131724378338,17.06237083457581,2288152342.02441,-2114.353262876937,0.12074451915337443,0.19150440467550325,58.493260824518764,213.4386484026436,238.7126558496377
4430.1891,4430.188550430474,0.22977046390607753,0.7702295360939224,-37.189563536214216,4088497441.3649077,324.5733621468214,0.2304899219212065,0.5480321858685826,104.15720418714754,-104.06938910220055,-9772.881074904499
4430.614,4430.616186739368,0.09007441066849087,0.9099255893315091,147.96323266470213,1515174246.8220325,-1684.87147972152,0.09018259467047426,0.12902804436867343,38.59262547164181,74.17351343764369,1381.016316663234
4432.5678,4432.570364987409,0.30365384289469244,0.6963461571053076,173.4804553413742,5335845078.891191,379.0174918748678,0.3041035621512473,0.4948462563497994,135.78817111930775,-206.65602077936998,-11577.374002886068
4433.2187,4433.229141042899,0.16318464671028413,0.8368153532897159,706.0662075214934,2663088388.0802536,366.3992237829184,0.16412452552736576,0.5054571981589455,67.75092463021133,-49.74099520171697,1569.667123245982
4436.9206,4436.936011591178,0.21011031459230844,0.7898896854076916,1041.3255537504297,2792667077.6583066,641.4765385801995,0.21134333556687485,0.5933032340590615,70.9288369521448,-95.52541046797269,2670.967493964993
4442.339,4442.345170487583,0.06848704403826261,0.9315129559617374,416.41703609002604,673872290.1964318,2665.6972956919335,0.06863956116498322,-0.10187643094502474,17.073517432186804,-23.029177596280253,892.8378041358071
4442.8316,4442.830043780484,0.1613137229962625,0.8386862770037375,-105.0102538443135,4296236421.484807,11.20136637621224,0.16201434138756296,-0.5521687923564186,108.82753111708072,-3.9320365741526953,-3763.252029331258
4445.4715,4445.47284604193,0.07302217059398311,0.9269778294060169,90.77399751626494,3543417485.128015,120.60975777716202,0.0747354245408514,0.7844574763014754,89.65126141703396,-28.748984517144862,1009.2755259582945
4446.8321,4446.8455569303,0.23933713271760512,0.7606628672823949,907.2270148823258,2994545878.8716545,1861.4039531272642,0.24019698586423052,-0.506662644956977,75.71760753742487,-316.58893868660783,-191.4739010004659
4447.1304,4447.129400538421,0.15700823647162004,0.8429917635283799,-67.37626662509912,4210694355.3093576,12.43616924891952,0.15744337773678913,-0.43041895041310396,106.45454042247539,-4.18123004024559,-2229.2036462077713
4447.7173,4447.72681001304,0.07675548969940317,0.9232445103005968,641.0097568326249,750267983.6365651,2804.9943108421144,0.07680816054776653,-0.06313024517584905,18.96313821436188,-29.9295234837024,1255.6085809366637
4450.3156,4450.313720544529,0.25682234043957913,0.7431776595604209,-126.60822870270239,4703389687.880055,496.706117438187,0.25695720103900876,0.2533085971124367,118.74072944009323,-207.9212386964421,-12958.382849553738
